Games,moves,tokens,size,win
FI-100 vs FI-10,18,4,11,79.2
FI-10 vs FI-100,18,4,11,13.05
FI-100 vs FI-50,18,4,11,54.98
FI-50 vs FI-100,18,4,11,32.4
FI-50 vs FI-10,18,4,11,68.55
FI-10 vs FI-50,18,4,11,18.15
FI-100 vs FI-10,18,3,11,77.05
FI-10 vs FI-100,18,3,11,15.3
FI-100 vs FI-50,18,3,11,55
FI-50 vs FI-100,18,3,11,31.05
FI-50 vs FI-10,18,3,11,67.45
FI-10 vs FI-50,18,3,11,21.55
FI-100 vs FI-10,18,2,11,77.15
FI-10 vs FI-100,18,2,11,18.5
FI-100 vs FI-50,18,2,11,55.89
FI-50 vs FI-100,18,2,11,37.2
FI-50 vs FI-10,18,2,11,66.8
FI-10 vs FI-50,18,2,11,24.4
FI-100 vs FI-10,24,4,11,78.7
FI-10 vs FI-100,24,4,11,12.85
FI-100 vs FI-50,24,4,11,57.7
FI-50 vs FI-100,24,4,11,37
FI-50 vs FI-10,24,4,11,65.85
FI-10 vs FI-50,24,4,11,20.75
FI-100 vs FI-10,24,3,11,78.2
FI-10 vs FI-100,24,3,11,14.25
FI-100 vs FI-50,24,3,11,57.85
FI-50 vs FI-100,24,3,11,31.6
FI-50 vs FI-10,24,3,11,69.25
FI-10 vs FI-50,24,3,11,21.65
FI-100 vs FI-10,24,2,11,79.1
FI-10 vs FI-100,24,2,11,18.5
FI-100 vs FI-50,24,2,11,56.4
FI-50 vs FI-100,24,2,11,35.3
FI-50 vs FI-10,24,2,11,69.35
FI-10 vs FI-50,24,2,11,23.3
FI-100 vs FI-10,18,4,9,76.40
FI-10 vs FI-100,18,4,9,13.85
FI-100 vs FI-50,18,4,9,55.45
FI-50 vs FI-100,18,4,9,32.10
FI-50 vs FI-10,18,4,9,67.90
FI-10 vs FI-50,18,4,9,18.80
FI-100 vs FI-10,18,3,9,74.3
FI-10 vs FI-100,18,3,9,15.25
FI-100 vs FI-50,18,3,9,54.65
FI-50 vs FI-100,18,3,9,34.6
FI-50 vs FI-10,18,3,9,67.75
FI-10 vs FI-50,18,3,9,22.1
FI-100 vs FI-10,18,2,9,74.9
FI-10 vs FI-100,18,2,9,19.25
FI-100 vs FI-50,18,2,9,53.7
FI-50 vs FI-100,18,2,9,39.4
FI-50 vs FI-10,18,2,9,64.7
FI-10 vs FI-50,18,2,9,21.2
FI-100 vs FI-10,24,4,9,80.35
FI-10 vs FI-100,24,4,9,14.65
FI-100 vs FI-50,24,4,9,58.35
FI-50 vs FI-100,24,4,9,33.2
FI-50 vs FI-10,24,4,9,66.6
FI-10 vs FI-50,24,4,9,19.3
FI-100 vs FI-10,24,3,9,81.7
FI-10 vs FI-100,24,3,9,13.65
FI-100 vs FI-50,24,3,9,56.9
FI-50 vs FI-100,24,3,9,32.7
FI-50 vs FI-10,24,3,9,71.4
FI-10 vs FI-50,24,3,9,19.8
FI-100 vs FI-10,24,2,9,71.7
FI-10 vs FI-100,24,2,9,26.45
FI-100 vs FI-50,24,2,9,53.2
FI-50 vs FI-100,24,2,9,38.05
FI-50 vs FI-10,24,2,9,66.35
FI-10 vs FI-50,24,2,9,32.1
FI-100 vs FI-10,24,4,13,78.1
FI-10 vs FI-100,24,4,13,12.6
FI-100 vs FI-50,24,4,13,55.1
FI-50 vs FI-100,24,4,13,31.8
FI-50 vs FI-10,24,4,13,71.4
FI-10 vs FI-50,24,4,13,18.7
FI-100 vs FI-10,18,4,13,83.5
FI-10 vs FI-100,18,4,13,10.15
FI-100 vs FI-50,18,4,13,60.85
FI-50 vs FI-100,18,4,13,31.5
FI-50 vs FI-10,18,4,13,73
FI-10 vs FI-50,18,4,13,19.1
FI-100 vs FI-10,24,3,13,74.95
FI-10 vs FI-100,24,3,13,14.3
FI-100 vs FI-50,24,3,13,52.35
FI-50 vs FI-100,24,3,13,35.5
FI-50 vs FI-10,24,3,13,68.45
FI-10 vs FI-50,24,3,13,20.9
FI-100 vs FI-10,18,3,13,73.8
FI-10 vs FI-100,18,3,13,13.65
FI-100 vs FI-50,18,3,13,54.9
FI-50 vs FI-100,18,3,13,31.75
FI-50 vs FI-10,18,3,13,66.8
FI-10 vs FI-50,18,3,13,21.1